No,Type,Name,M,WS,BS,A,W,Ld,Sv,N,Pt,Weapon,Type,Rng,A,SAP,SAT,Abilties,Keywords,Options
,,,,,,,,,,,,,,,,,,,,
1,HQ,Belisarius Cawl,"6""",2+,2+,1,2,7,4+,1,10,,,,,,,"Lord of Mars: You can re-roll hit rolls for attacks made by friendly Mars units whilst they are within 6"" of this unit.
Master of Machines: At the end of the Action phase, this unit can attempt to repair one friendly Imperium Vehicle unit in base contact with it. If it does, roll one D6; on a 4+ remove one damage marker from that Vehicle unit. Only one attempt to repair each unit can be made each turn.
Archmagos: At the start of the Generate Command Assets step, if this unit is a Warlord and is on the battlefield, you generate one extra Command Asset.
Self-repair Mechanisms: At the start of the Action phase, you can remove one damage marker from this unit.","Imperium, Adeptus Mechanicus, Cult Mechanicus, Mars
Light, Infantry, Character, Tech-Priest, Belisarius Cawl",
1,,,,,,,,,,,,Solar Atomiser,Heavy,"12""",1,9+,6+,,,
1,,,,,,,,,,,,Omnissian Axe,Melee,Melee,1,8+,8+,,,
2,HQ,Tech-Priest Dominus,"6""",3+,2+,1,1,6,4+,1,7,,,,,,,"Lord of the Machine Cult: Re-roll hit rolls of 1 for attacks made by friendly <Forge World> units whilst they are within 6"" of this unit.
Master of Machines: At the end of the Action phase, this unit can attempt to repair one friendly <Forge World> or Questor Mechanicus Vehicle unit in base contact with it. If it does, roll one D6; on a 4+ remove one damage marker from that Vehicle unit. Only one attempt to repair each unit can be made each turn.","Imperium, Adeptus Mechanicus, Cult Mechanicus, <Forge World>
Light, Infantry, Character, Tech-Priest, Dominus",
2,,,,,,,,,,,,Tech-Priest Weapons,Heavy,"24""",1,8+,8+,,,
2,,,,,,,,,,,,Omnissian Axe,Melee,Melee,1,8+,8+,,,
3,HQ,Tech-Priest Manipulus,"6""",3+,3+,1,1,6,4+,1,6,,,,,,,"Galvanic Field: Add 3"" to the Range characteristic of ranged weapons <Forge World> units are equipped with whilst they are within 6"" of any friendly units with this ability.
Master of Machines: At the end of the Action phase, this unit can attempt to repair one friendly <Forge World> or Questor Mechanicus Vehicle unit in base contact with it. If it does, roll one D6; on a 4+ remove one damage marker from that Vehicle unit. Only one attempt to repair each unit can be made each turn.","Imperium, Adeptus Mechanicus, Cult Mechanicus, <Forge World>
Light, Infantry, Character, Tech-Priest, Manipulus","per Unit: Instead of 1 Magnarail Lance, this unit can be equipped with 1 Transonic Cannon."
3,,,,,,,,,,,,,,,,,,"Instead of 1 Magnarail Lance, this unit can be equipped with 1 Transonic Cannon.",,
3,,,,,,,,,,,,Magnarail Lance,Heavy,"18""",1,8+,7+,,,
